"","group","date","id","behav_code","domain","date2","year","domain_index","behavior_index","others","YEARmatch","group_index","mono_index","age","logage","logage.c","groupsize.c","ranklo","rankhi","male","sociality.s","groupsize","age.c"
"69","FL","8/3/07 06:31","JA","OBJECT_PLAY_SWING","investigative","2007-08-03",2007,2,74,0,2007,4,41,7,1.94591014905531,-0.0520054981425622,-6.3690932311622,0,0,1,-0.27686715666276,-6.3690932311622,-1.40495867768595
"70","RR","3/23/07 10:47","WM","OBJECT_PLAY_TREETAG","investigative","2007-03-23",2007,2,75,0,2007,8,116,6,1.79175946922805,-0.20615617796982,6.6309067688378,0,0,1,0.609959892525077,6.6309067688378,-2.40495867768595
"71","CU","9/5/07 08:41","CH","OPEN_PALM_SLAP_STICK","investigative","2007-09-05",2007,2,76,0,2007,2,11,6,1.79175946922805,-0.20615617796982,-9.3690932311622,0,0,0,-0.811778710141138,-9.3690932311622,-2.40495867768595
"72","FF","4/19/07 09:38","TN","OPEN_PALM_SLAP_STICK","investigative","2007-04-19",2007,2,76,0,2007,3,108,3,1.09861228866811,-0.899303358529766,15.6309067688378,1,0,1,1.28563764428724,15.6309067688378,-5.40495867768595
"73","FL","3/17/09 13:05","MX","PLAY_SAND_DIG","investigative","2009-03-17",2009,2,81,0,2009,4,71,3,1.09861228866811,-0.899303358529766,-9.3690932311622,1,0,1,0.715534541237915,-9.3690932311622,-5.40495867768595
"74","RF","3/25/08 10:14","RS","PLAY_SAND_DIG","investigative","2008-03-25",2008,2,81,1,2008,7,93,3,1.09861228866811,-0.899303358529766,-8.3690932311622,1,0,0,0.595883272696699,-8.3690932311622,-5.40495867768595
"75","RF","3/25/08 10:14","SY","PLAY_SAND_DIG","investigative","2008-03-25",2008,2,81,1,2008,7,102,7,1.94591014905531,-0.0520054981425622,-8.3690932311622,0,0,0,-0.994774767910057,-8.3690932311622,-1.40495867768595
"76","RF","3/25/08 10:14","ST","PLAY_SAND_DIG","investigative","2008-03-25",2008,2,81,1,2008,7,101,3,1.09861228866811,-0.899303358529766,-8.3690932311622,1,0,0,-1.02292800756681,-8.3690932311622,-5.40495867768595
"77","RF","3/25/08 10:14","MW","PLAY_SAND_DIG","investigative","2008-03-25",2008,2,81,1,2008,7,70,6,1.79175946922805,-0.20615617796982,-8.3690932311622,0,0,0,-0.0446029294945171,-8.3690932311622,-2.40495867768595
"78","SP","11/4/11 12:10","MS","PLAY_SAND_DIG","investigative","2011-11-04",2011,2,81,0,2011,9,68,28,3.3322045101752,1.33428886297733,4.6309067688378,0,1,1,-1.14961758602222,4.6309067688378,19.595041322314
"79","FF","3/3/07 14:16","KT","PLAY_SAND_DIG_JUMP","investigative","2007-03-03",2007,2,82,0,2007,3,49,4,1.38629436111989,-0.611621286077985,15.6309067688378,0,0,0,0.50438524381224,15.6309067688378,-4.40495867768595
"80","AA","7/2/11 12:56","NE","PLAY_SAND_ROLL","investigative","2011-07-02",2011,2,83,0,2011,1,74,5,1.6094379124341,-0.388477734763775,6.6309067688378,0,0,0,0.356580735614267,6.6309067688378,-3.40495867768595
"81","FF","10/3/11 16:32","BM","PLAY_SAND_ROLL","investigative","2011-10-03",2011,2,83,0,2011,3,9,3,1.09861228866811,-0.899303358529766,-2.3690932311622,1,0,1,1.08856496668994,-2.3690932311622,-5.40495867768595
"82","FF","4/23/07 10:31","RH","PLAY_SAND_SIFT","investigative","2007-04-23",2007,2,84,0,2007,3,92,5,1.6094379124341,-0.388477734763775,15.6309067688378,1,0,0,0.0609717192183207,15.6309067688378,-3.40495867768595
"83","AA","12/4/11 15:56","GI","PLAY_SAND_THROW","investigative","2011-12-04",2011,2,85,0,2011,1,34,2,0.693147180559945,-1.30476846663793,6.6309067688378,1,0,0,0.701457921409537,6.6309067688378,-6.40495867768595
"84","FF","8/3/11 09:29","FE","PLAY_SAND_THROW","investigative","2011-08-03",2011,2,85,0,2011,3,31,3,1.09861228866811,-0.899303358529766,-2.3690932311622,1,0,1,0.469193694241294,-2.3690932311622,-5.40495867768595
"85","RF","3/16/10 12:43","TW","POUND_METAL","investigative","2010-03-16",2010,2,89,0,2010,7,111,10,2.30258509299405,0.304669445796171,-4.3690932311622,0,1,1,0.103201578703456,-4.3690932311622,1.59504132231405
"86","RR","8/6/07 11:21","DW","REELIN_VINE_GAME","investigative","2007-08-06",2007,2,92,0,2007,8,24,7,1.94591014905531,-0.0520054981425622,6.6309067688378,0,0,0,-0.488016454088436,6.6309067688378,-1.40495867768595
"87","FL","7/3/07 06:54","LT","SWING_STICK","investigative","2007-07-03",2007,2,104,0,2007,4,56,4,1.38629436111989,-0.611621286077985,-6.3690932311622,0,0,1,0.553653413211564,-6.3690932311622,-4.40495867768595
"88","RR","11/2/07 11:52","GT","TEETERTOTTER_BRANCH_DYADIC","investigative","2007-11-02",2007,2,113,1,2007,8,36,4,1.38629436111989,-0.611621286077985,6.6309067688378,1,0,1,1.15894806583183,6.6309067688378,-4.40495867768595
"89","RR","11/2/07 11:52","WM","TEETERTOTTER_BRANCH_DYADIC","investigative","2007-11-02",2007,2,113,1,2007,8,116,6,1.79175946922805,-0.20615617796982,6.6309067688378,0,0,1,0.609959892525077,6.6309067688378,-2.40495867768595
"90","FF","11/3/07 15:46","RS","TEETERTOTTER_COWDUNG","investigative","2007-11-03",2007,2,114,0,2007,3,93,2,0.693147180559945,-1.30476846663793,15.6309067688378,1,0,0,2.01058356544873,15.6309067688378,-6.40495867768595
"91","AA","3/6/08 09:08","KY","TREEHOLE_ARMWASH","investigative","2008-03-06",2008,2,119,0,2008,1,50,5,1.6094379124341,-0.388477734763775,1.6309067688378,0,0,0,-0.783625470484382,1.6309067688378,-3.40495867768595
"92","FF","8/22/08 12:55","PF","TREEHOLE_ARMWASH","investigative","2008-08-22",2008,2,119,0,2008,3,83,10,2.30258509299405,0.304669445796171,-3.3690932311622,0,1,1,-0.699165751514111,-3.3690932311622,1.59504132231405
"93","RF","12/11/09 14:31","SY","TREEHOLE_ARMWASH","investigative","2009-12-11",2009,2,119,0,2009,7,102,8,2.07944154167984,0.0815258944819603,-6.3690932311622,0,0,0,-0.565437863144517,-6.3690932311622,-0.404958677685951
"94","AA","7/9/11 12:57","KY","TREEHOLE_SPLASH","investigative","2011-07-09",2011,2,120,0,2011,1,50,8,2.07944154167984,0.0815258944819603,6.6309067688378,0,0,0,-1.12850265627965,6.6309067688378,-0.404958677685951
"95","FL","5/20/09 07:34","EI","TREEHOLE_SPLASH","investigative","2009-05-20",2009,2,120,0,2009,4,27,6,1.79175946922805,-0.20615617796982,-9.3690932311622,0,0,0,-1.70564406924316,-9.3690932311622,-2.40495867768595
"96","MK","7/21/11 10:28","WS","TREEHOLE_SPLASH","investigative","2011-07-21",2011,2,120,1,2011,5,117,4,1.38629436111989,-0.611621286077985,-2.3690932311622,0,0,1,0.595883272696699,-2.3690932311622,-4.40495867768595
"97","NM","8/18/10 11:50","BJ","TREEHOLE_SPLASH","investigative","2010-08-18",2010,2,120,1,2010,6,7,6,1.79175946922805,-0.20615617796982,-5.3690932311622,0,1,1,-0.354288565718841,-5.3690932311622,-2.40495867768595
"98","AA","5/6/07 11:19","KY","TURTLE_HANDLE","investigative","2007-05-06",2007,2,123,1,2007,1,50,4,1.38629436111989,-0.611621286077985,1.6309067688378,0,0,0,-0.150177578207355,1.6309067688378,-4.40495867768595
"99","FL","8/16/08 09:56","MX","WATER_GRAB","investigative","2008-08-16",2008,2,126,0,2008,4,71,2,0.693147180559945,-1.30476846663793,-7.3690932311622,1,0,1,1.2434077848021,-7.3690932311622,-6.40495867768595
"100","AA","4/5/09 12:34","BI","WATER_HANG_SPLASH","investigative","2009-04-05",2009,2,127,0,2009,1,6,3,1.09861228866811,-0.899303358529766,3.6309067688378,1,0,1,1.09560327660413,3.6309067688378,-5.40495867768595
"101","CU","9/5/07 12:39","CH","WATER_JUMP_IN_RIVER","investigative","2007-09-05",2007,2,128,0,2007,2,11,6,1.79175946922805,-0.20615617796982,-9.3690932311622,0,0,0,-0.811778710141138,-9.3690932311622,-2.40495867768595
"102","AA","4/3/11 13:03","VR","WATER_SPLASH","investigative","2011-04-03",2011,2,129,0,2011,1,115,5,1.6094379124341,-0.388477734763775,6.6309067688378,0,0,1,0.532538483468996,6.6309067688378,-3.40495867768595
"103","FL","7/23/08 10:44","JA","WATER_SWING","investigative","2008-07-23",2008,2,130,1,2008,4,41,8,2.07944154167984,0.0815258944819603,-7.3690932311622,0,0,1,-0.776587160570192,-7.3690932311622,-0.404958677685951
"104","SP","1/2/10 14:27","GB","FIST_NOSE_RUB_SNEEZE","self-directed","2010-01-02",2010,3,17,1,2010,9,32,10,2.30258509299405,0.304669445796171,8.6309067688378,0,1,1,-1.33965195370533,8.6309067688378,1.59504132231405
"105","AA","7/2/08 11:03","KY","FLOSS","self-directed","2008-07-02",2008,3,18,0,2008,1,50,5,1.6094379124341,-0.388477734763775,1.6309067688378,0,0,0,-0.783625470484382,1.6309067688378,-3.40495867768595
"106","NM","2/4/10 15:28","BJ","FLOSS","self-directed","2010-02-04",2010,3,18,0,2010,6,7,6,1.79175946922805,-0.20615617796982,-5.3690932311622,0,1,1,-0.354288565718841,-5.3690932311622,-2.40495867768595
"107","FF","8/22/08 09:01","LX","FLOSS","self-directed","2008-08-22",2008,3,18,1,2008,3,58,10,2.30258509299405,0.304669445796171,-8.3690932311622,0,1,1,-1.05811955713776,-8.3690932311622,1.59504132231405
"108","CU","1/14/09 00:00","CU","HOLD_BODY_PART","self-directed","2009-01-14",2009,3,34,1,2009,2,15,22,3.09104245335832,1.09312680616044,-19.3690932311622,0,1,0,-0.297982086405327,-19.3690932311622,13.595041322314
"109","RF","7/19/08 09:54","RH","MASTURBATE_SOLO_BRANCH","self-directed","2008-07-19",2008,3,46,0,2008,7,92,6,1.79175946922805,-0.20615617796982,-8.3690932311622,0,0,0,-0.959583218339111,-8.3690932311622,-2.40495867768595
"110","FF","6/25/07 05:54","TH","MASTURBATE_SOLO_OWNTAIL","self-directed","2007-06-25",2007,3,47,0,2007,3,106,5,1.6094379124341,-0.388477734763775,15.6309067688378,1,0,0,-0.516169693745192,15.6309067688378,-3.40495867768595
"111","RR","1/18/07 08:34","DW","SELF_EYEPOKE","self-directed","2007-01-18",2007,3,95,1,2007,8,24,7,1.94591014905531,-0.0520054981425622,6.6309067688378,0,0,0,-0.488016454088436,6.6309067688378,-1.40495867768595
"112","SP","4/12/09 13:35","LU","SELF_EYEPOKE","self-directed","2009-04-12",2009,3,95,1,2009,9,57,7,1.94591014905531,-0.0520054981425622,-0.369093231162196,0,0,0,-1.07219617696614,-0.369093231162196,-1.40495867768595
