id,year,male,mono_index,sampyearsum,sociality,inno_count,domain_index,domain,age,logsampeff,MainGroup,group,rank_class,inno_count_ND,sociality.s,logage,logage.c,group_index,year_index,rankhi,rankmid,ranklo,innobinom,groupsize.c,innovator,innovatoryear
HA,2007,1,88,1207,47.2,0,2,investigative,9,7.095893221,RR,RR,high,0,-0.481522167,2.197224577,0.397031307,9,1,1,0,0,0,6.819332566,0,0
HA,2007,1,88,1207,47.2,0,4,social,9,7.095893221,RR,RR,high,0,-0.481522167,2.197224577,0.397031307,9,1,1,0,0,0,6.819332566,0,0
HA,2008,1,88,1557,49.1,0,3,self-directed,10,7.350516172,RR,RR,high,0,-0.380071141,2.302585093,0.502391823,9,2,1,0,0,0,7.819332566,0,0
HA,2008,1,88,1557,49.1,0,4,social,10,7.350516172,RR,RR,high,0,-0.380071141,2.302585093,0.502391823,9,2,1,0,0,0,7.819332566,0,0
HA,2008,1,88,1557,49.1,0,2,investigative,10,7.350516172,RR,RR,high,0,-0.380071141,2.302585093,0.502391823,9,2,1,0,0,0,7.819332566,0,0
HA,2008,1,88,1557,49.1,0,1,foraging,10,7.350516172,RR,RR,high,0,-0.380071141,2.302585093,0.502391823,9,2,1,0,0,0,7.819332566,0,0
HA,2009,1,88,2200,44.7,0,2,investigative,11,7.696212639,RR,RR,high,0,-0.615010358,2.397895273,0.597702003,9,3,1,0,0,0,7.819332566,0,0
HA,2009,1,88,2200,44.7,0,1,foraging,11,7.696212639,RR,RR,high,0,-0.615010358,2.397895273,0.597702003,9,3,1,0,0,0,7.819332566,0,0
HA,2009,1,88,2200,44.7,0,4,social,11,7.696212639,RR,RR,high,0,-0.615010358,2.397895273,0.597702003,9,3,1,0,0,0,7.819332566,0,0
HA,2009,1,88,2200,44.7,0,3,self-directed,11,7.696212639,RR,RR,high,0,-0.615010358,2.397895273,0.597702003,9,3,1,0,0,0,7.819332566,0,0
HA,2010,1,88,2933,39.1,0,4,social,12,7.983781069,LB,LB,high,0,-0.914023906,2.48490665,0.68471338,5,4,1,0,0,0,10.81933257,0,0
HA,2010,1,88,2933,39.1,0,3,self-directed,12,7.983781069,LB,LB,high,0,-0.914023906,2.48490665,0.68471338,5,4,1,0,0,0,10.81933257,0,0
HA,2010,1,88,2933,39.1,0,2,investigative,12,7.983781069,LB,LB,high,0,-0.914023906,2.48490665,0.68471338,5,4,1,0,0,0,10.81933257,0,0
HA,2010,1,88,2933,39.1,0,1,foraging,12,7.983781069,LB,LB,high,0,-0.914023906,2.48490665,0.68471338,5,4,1,0,0,0,10.81933257,0,0
HB,2007,0,89,133,99.2,0,1,foraging,1,4.890349128,RR,RR,low,0,2.295032208,0,-1.80019327,9,1,0,0,1,0,6.819332566,0,0
HB,2007,0,89,133,99.2,0,3,self-directed,1,4.890349128,RR,RR,low,0,2.295032208,0,-1.80019327,9,1,0,0,1,0,6.819332566,0,0
HB,2007,0,89,133,99.2,0,4,social,1,4.890349128,RR,RR,low,0,2.295032208,0,-1.80019327,9,1,0,0,1,0,6.819332566,0,0
